movie_name,release_year,genre,rating,running_time,imdb_rating,director,plot,casts
The Godfather,1972,"Crime, Drama",R,2h 55min,9.2/10,Francis Ford Coppola,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano"
The Godfather: Part II,1974,"Crime, Drama",R,3h 22min,9.0/10,Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale"
The Dark Knight,2008,"Action, Crime, Drama",PG-13,2h 32min,9.0/10,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal"
12 Angry Men,1957,"Crime, Drama",Approved,1h 36min,9.0/10,Sidney Lumet,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall"
Schindler's List,1993,"Biography, Drama, History",R,3h 15min,8.9/10,Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall"
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",PG-13,3h 21min,8.9/10,Peter Jackson,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby"
Pulp Fiction,1994,"Crime, Drama",R,2h 34min,8.9/10,Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth"
"The Good, the Bad and the Ugly",1966,Western,R,2h 58min,8.8/10,Sergio Leone,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli"
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",PG-13,2h 58min,8.8/10,Peter Jackson,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard"
Fight Club,1999,Drama,R,2h 19min,8.8/10,David Fincher,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette"
